,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
88,AKJ,3,3.0,0.66666667,5.32128479,12.0,0.0133118,0.0425531914893617,0.00011369580849527773
89,AKL,44,44.0,0.17230444,4.86558812,11.0,0.05759775,127864.93601906857,0.0017916021670311311
90,AKN,6,6.0,0.13333333,5.7301686,13.0,0.00144053,18091.333333333332,0.000522294282269609
91,AKP,3,3.0,1.0,6.74765896,14.0,0.0001334,0.0,0.00021141821447086295
92,AKS,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849477460680224
93,AKU,1,1.0,,7.72663167,14.0,1.107e-05,0.0,0.0001226741779904128
94,AKV,2,2.0,0.0,7.86323006,15.0,2.06e-06,1806.2333333333333,0.00019852875922776243
95,AKX,1,1.0,,5.89733069,13.0,0.00236896,0.0,6.416986363016516e-05
96,AKY,3,3.0,1.0,6.33102229,12.0,0.00049587,0.0,0.0001672049936175786
97,ALA,29,29.0,0.30788177,4.89737896,12.0,0.13337394,18630.77267387837,0.000774828612423034
98,ALB,23,23.0,0.73913043,5.66423621,13.0,0.13994856,2211.9105359296354,0.0004744560628372861
99,ALC,35,35.0,0.63529412,5.21669487,12.0,0.2503666,593.9806311411227,0.0006680878541430782
100,ALF,6,6.0,0.6,7.26682727,14.0,0.00011278,2106.5880952381262,0.00031627033825364374
101,ALG,56,56.0,0.19350649,5.2317143,12.0,0.20685024,68145.62663728329,0.0015280656238015867
102,ALH,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014141940192729073
103,ALJ,1,1.0,,8.12258026,15.0,3.3e-07,0.0,0.0001414110621820905
104,ALM,2,2.0,1.0,5.95660759,13.0,0.00261597,0.0,0.00011464318222572504
105,ALO,4,4.0,0.5,5.46784381,13.0,0.02603337,1974.1230706501597,0.0001471899024044707
106,ALP,15,15.0,0.81904762,5.32645071,12.0,0.13832626,14.847245928206567,0.00032469281501822426
107,ALS,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676016425412757e-05
108,ALW,2,2.0,1.0,5.71932577,13.0,0.00595398,0.0,9.710863420222789e-05
109,AMA,5,5.0,1.0,5.5567497,13.0,0.03212609,0.0,0.00015053972943247245
110,AMD,9,9.0,0.52777778,5.77866437,12.0,0.01608274,63.354182354768625,0.00027571337085046744
111,AMH,2,2.0,0.0,6.27930581,13.0,0.00168892,3615.9999999999995,0.0001688690715234772
112,AMI,6,6.0,0.4,5.74984497,11.0,0.00574332,4037.0303192609513,0.0002831830029632946
113,AMM,50,50.0,0.42285714,5.18226411,12.0,0.28670462,5422.7485524236945,0.0010659075337688955
114,AMQ,2,2.0,1.0,6.75319687,12.0,0.00012688,0.0,0.00012873609294159852
115,AMS,192,192.0,0.14283377,4.2099746,11.0,0.85577995,264799.74854349793,0.004010976674450449
116,AMV,1,1.0,,7.39862469,14.0,4.86e-06,0.0,0.00012050410645271361
117,AMY,2,2.0,0.0,6.1866339,13.0,0.00052387,3594.8164062248725,0.00013977789905306347
118,ANC,39,39.0,0.07962213,4.73097143,12.0,0.07816667,533124.7221337614,0.0020191485967053784
119,ANE,1,1.0,,6.21170719,13.0,0.00189759,0.0,6.390424586104617e-05
