,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
1696,LMA,2,2.0,0.0,6.76837547,14.0,0.00015382,100.22496947496948,0.00015876725413872933
1697,LMI,2,2.0,0.0,9.72598181,14.0,0.0,5.5,0.0002342520589389222
1698,LML,2,2.0,1.0,7.59540556,14.0,9.2e-07,0.0,0.0001777165778347633
1699,LMM,8,8.0,0.85714286,5.88753106,13.0,0.00874968,0.5909090909090909,0.00022289322965811752
1700,LMN,3,3.0,1.0,6.23472699,12.0,0.00069833,0.0,0.0001611382324731253
1701,LMP,4,4.0,0.83333333,5.23541943,12.0,0.02414989,0.41666666666666663,0.00012546652479840321
1702,LMT,1,1.0,,5.74580902,13.0,0.00329628,0.0,6.41308131676449e-05
1703,LNB,4,4.0,0.5,6.85295686,12.0,9.211e-05,3612.6,0.0002667192061821473
1704,LNE,4,4.0,0.5,6.85303061,12.0,9.217e-05,1807.3666666666666,0.0002597631540154402
1705,LNK,5,5.0,1.0,5.44230168,13.0,0.03679468,0.0,0.00014785931836084457
1706,LNO,3,3.0,0.66666667,5.95886137,12.0,0.00081415,0.5,0.00019434049887484187
1707,LNS,2,2.0,1.0,5.81725467,13.0,0.00722241,0.0,0.00010296533136249198
1708,LNV,6,6.0,0.4,6.7267971,11.0,0.00015435,8990.566666666662,0.000398961313563877
1709,LNY,4,4.0,0.83333333,5.58567365,12.0,0.0040664,0.3333333333333333,0.0001587952568076304
1710,LNZ,11,11.0,0.76363636,5.23367496,12.0,0.09058198,8.812424482937493,0.00022805338459089828
1711,LOD,6,6.0,0.26666667,6.85314764,12.0,9.057e-05,9019.116666666667,0.00040462868207023593
1712,LON,242,242.0,0.11234183,4.19376168,11.0,1.0,555788.5217198677,0.005265636368879259
1713,LOS,33,33.0,0.31818182,5.1888955,12.0,0.17040209,23042.114024322163,0.000899776601695317
1714,LOV,1,1.0,,6.54365578,14.0,0.00121359,0.0,6.376722871389675e-05
1715,LPA,41,41.0,0.39634146,5.11794989,12.0,0.19403944,5207.9403788788595,0.0008006601545662704
1716,LPB,9,9.0,0.27777778,5.87143294,13.0,0.01107887,9622.929142054769,0.00041408747344575883
1717,LPI,5,5.0,0.7,5.40039713,12.0,0.02183206,0.8095238095238095,0.00016226596137251331
1718,LPL,11,11.0,0.6,5.1261655,12.0,0.08131694,23.63767216898819,0.00023864074808785558
1719,LPM,2,2.0,1.0,6.85304463,12.0,9.042e-05,0.0,0.00013974961296826956
1720,LPP,2,2.0,1.0,5.79116609,13.0,0.00564832,0.0,0.00011493422148296772
1721,LPQ,3,3.0,0.33333333,6.27219647,12.0,0.00050075,101.24262348925795,0.00017468583134825432
1722,LPS,5,5.0,0.4,5.72028468,13.0,0.005919,7825.388095237357,0.0002695462633614096
1723,LPT,2,2.0,0.0,6.77298981,13.0,0.00020987,0.5,0.00014673191699479888
1724,LPU,1,1.0,,7.74301739,13.0,2.2e-06,0.0,0.00011104471653026468
1725,LPY,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
1726,LRD,2,2.0,1.0,5.58842035,13.0,0.0173684,0.0,8.16955192977012e-05
1727,LRE,4,4.0,0.5,6.17663369,11.0,0.00096806,1465.2604400899224,0.0002398097294870711
1728,LRH,3,3.0,0.66666667,5.28000626,12.0,0.0180151,194.81464425302966,0.00011775520808513591
1729,LRL,2,2.0,1.0,6.12551046,13.0,0.00140373,0.0,8.964354440381712e-05
1730,LRM,2,2.0,1.0,5.86743637,13.0,0.01250671,0.0,8.273036954891834e-05
1731,LRR,6,6.0,0.66666667,5.74142291,12.0,0.01808392,79.08624161587258,0.00018312692957368485
1732,LRS,1,1.0,,5.42203555,12.0,0.0076845,0.0,6.473243916204277e-05
1733,LRT,2,2.0,1.0,5.25761592,12.0,0.02132973,0.0,8.141406111697454e-05
1734,LRU,2,2.0,1.0,5.95660759,13.0,0.00261597,0.0,0.00011464318222568801
1735,LRV,2,2.0,1.0,6.27439382,13.0,0.00367691,0.0,0.00010024056236106902
1736,LSA,4,4.0,0.5,6.72756827,11.0,0.00015154,3538.6187652893404,0.00029137260361711774
1737,LSC,3,3.0,1.0,6.64057752,14.0,0.00162819,0.0,0.00016679408157459336
1738,LSE,4,4.0,1.0,5.46505843,13.0,0.02461959,0.0,0.00012141180591773289
1739,LSH,2,2.0,1.0,6.33094867,12.0,0.00048738,0.0,0.00012007597773836569
1740,LSP,4,4.0,1.0,5.93042396,13.0,0.00562241,0.0,0.0001533590270056315
1741,LSQ,2,2.0,1.0,6.64042468,14.0,0.00160044,0.0,0.00011341641696361401
1742,LSS,1,1.0,,6.25355884,13.0,0.00073297,0.0,6.931799798516681e-05
1743,LST,6,6.0,0.53333333,5.86765752,12.0,0.00260915,99.9696667673245,0.0002863898994418153
1744,LSY,2,2.0,1.0,5.88968044,12.0,0.00147385,0.0,0.00013293493618117517
1745,LTD,2,2.0,1.0,6.37650335,13.0,0.00332882,0.0,9.439603961583356e-05
1746,LTI,2,2.0,1.0,6.44216912,13.0,0.00050772,0.0,0.0001503290200530022
1747,LTK,2,2.0,1.0,5.66872568,12.0,0.01218978,0.0,7.947236563827384e-05
1748,LTO,3,3.0,0.66666667,5.19790589,12.0,0.00955034,126.20374303142648,0.0001118248898260075
1749,LUA,1,1.0,,6.48434021,12.0,0.00118458,0.0,7.191623928341239e-05
1750,LUC,1,1.0,,6.98030591,13.0,9.79e-06,0.0,0.00010228878937935249
1751,LUD,4,4.0,0.33333333,6.33013466,13.0,0.00080729,10.049165886078715,0.00022388502534406008
1752,LUG,5,5.0,0.8,5.24699352,12.0,0.03939489,1.8867423950862865,0.00012871372848679728
1753,LUL,2,2.0,1.0,5.88354847,13.0,0.00550128,0.0,9.195841480397017e-05
1754,LUM,1,1.0,,6.38327954,12.0,0.00081144,0.0,6.424274909755506e-05
1755,LUN,13,13.0,0.24358974,5.64594021,12.0,0.01041199,15366.693245901793,0.0005996892684302754
1756,LUP,1,1.0,,5.59804096,12.0,0.00268125,0.0,6.852210440559977e-05
1757,LUQ,3,3.0,0.66666667,5.59006526,13.0,0.00333176,0.5,0.00018251843958648215
1758,LUR,2,2.0,1.0,6.72699109,14.0,2.58e-05,0.0,0.00014950931256039898
1759,LUX,37,37.0,0.54804805,5.2657157,12.0,0.27033431,708.6595687787576,0.0007097685941644417
1760,LVD,1,1.0,,6.72837464,14.0,2.521e-05,0.0,0.00010754679989556185
1761,LVI,2,2.0,1.0,6.64589508,13.0,0.00018828,0.0,0.00014029534258151296
1762,LVO,2,2.0,1.0,5.9588789,12.0,0.00079995,0.0,0.00013637929745601615
1763,LWB,3,3.0,1.0,5.52876526,13.0,0.02324579,0.0,9.89908951788351e-05
1764,LWN,2,2.0,1.0,5.40607614,12.0,0.01093308,0.0,8.70363593008702e-05
1765,LWO,9,9.0,0.61111111,5.22298863,12.0,0.04727836,292.69014972530175,0.00023198788314830878
1766,LWS,3,3.0,0.66666667,5.70628702,13.0,0.00714922,1.1666666666666665,0.00013351676588637876
1767,LWT,2,2.0,0.0,6.65997571,14.0,0.00042357,3616.0,0.0001768213099970771
1768,LWY,3,3.0,1.0,6.23472699,12.0,0.00069833,0.0,0.00016113823247308943
1769,LXA,5,5.0,0.3,6.49525012,12.0,0.00283725,90.79583045609564,0.00017302320846751637
1770,LXG,1,1.0,,6.77654777,13.0,0.00014312,0.0,8.381461181815905e-05
1771,LXR,18,18.0,0.47058824,5.2610344,12.0,0.12672527,773.6845804730817,0.0004099523709421366
1772,LXS,3,3.0,1.0,5.4274501,12.0,0.01177361,0.0,0.00011620740178923535
1773,LYA,6,6.0,0.66666667,5.60755446,12.0,0.00932344,138.34844270443887,0.0001684972333895086
1774,LYC,2,2.0,1.0,5.68596935,13.0,0.00778883,0.0,0.0001152778171040086
1775,LYG,4,4.0,0.66666667,5.63905197,12.0,0.01043561,59.01077764292344,0.00012375116755516044
1776,LYH,4,4.0,1.0,5.53054431,13.0,0.03405644,0.0,0.00011786383543851196
1777,LYI,4,4.0,0.66666667,5.86968872,12.0,0.0032226,0.1406926406926407,0.00011737538635660278
1778,LYP,7,7.0,0.85714286,5.74726356,12.0,0.02058656,12.322715348903312,0.0002109132853012367
1779,LYR,1,1.0,,7.26705331,14.0,0.00010655,0.0,8.258754554038924e-05
1780,LYS,61,61.0,0.27978142,5.1916189,12.0,0.30101534,14009.616234462615,0.0013681749410366355
1781,LZC,1,1.0,,5.81540274,13.0,0.00461702,0.0,6.536685053274505e-05
1782,LZH,1,1.0,,5.85744734,12.0,0.00135621,0.0,6.289545990053524e-05
1783,LZO,4,4.0,0.83333333,5.61037812,12.0,0.00824345,0.5658478681223786,0.00012373333081625823
1784,LZR,1,1.0,,6.14303361,11.0,0.00044066,0.0,8.379147640100725e-05
1785,MAA,28,28.0,0.33333333,4.93197693,11.0,0.09857223,12979.87201069938,0.000737014075754727
1786,MAB,5,5.0,0.4,6.82042426,14.0,0.0004051,134.85940582440264,0.0002668243805432553
1787,MAD,105,105.0,0.23260073,4.91990393,12.0,0.53619156,68072.89687363508,0.002290809101630503
1788,MAF,6,6.0,0.93333333,5.56121086,13.0,0.03074203,0.4184210526315788,0.00016333212478518606
1789,MAG,6,6.0,0.53333333,6.72613141,11.0,0.00016013,7265.616666666664,0.00040004210510397666
1790,MAH,7,7.0,0.95238095,5.06284874,12.0,0.06893332,1.3760702163236476,0.00016180288463611136
1791,MAJ,19,19.0,0.04093567,5.59610864,12.0,0.00275441,86746.6229390021,0.00146213074020605
1792,MAK,1,1.0,,7.37946014,14.0,2.528e-05,0.0,9.687289416202433e-05
1793,MAM,3,3.0,0.66666667,5.81514165,13.0,0.00481033,0.5,0.00014384857383900748
1794,MAN,75,75.0,0.34414414,4.58958665,12.0,0.46678169,17458.2553472795,0.0014897994323003342
1795,MAO,17,17.0,0.14705882,5.83551393,13.0,0.02038082,46504.3723289363,0.0007621347691013919
1796,MAQ,2,2.0,1.0,5.77255414,12.0,0.00620611,0.0,0.00010121660469849615
1797,MAR,12,12.0,0.36363636,5.86287047,13.0,0.0155423,3998.438906322212,0.00042587705019237723
1798,MAS,3,3.0,0.66666667,6.7251727,11.0,0.0001542,21.25,0.0002061312927525946
1799,MAT,3,3.0,0.33333333,6.19588323,13.0,0.00059317,7230.0,0.0002280005317269977
1800,MAU,1,1.0,,7.0702622,14.0,8.25e-06,0.0,9.644542807647122e-05
1801,MAV,1,1.0,,6.59606914,13.0,4.892e-05,0.0,0.00010687048187965446
1802,MAY,1,1.0,,6.03715632,13.0,0.00244519,0.0,7.014304927355379e-05
1803,MAZ,2,2.0,1.0,5.83297374,13.0,0.00627142,0.0,8.452914571750363e-05
1804,MBA,6,6.0,0.53333333,6.1863288,13.0,0.00376254,13.833333333333336,0.0002551875723971849
1805,MBD,1,1.0,,5.65982769,12.0,0.00499672,0.0,6.993258327599931e-05
1806,MBE,2,2.0,1.0,5.30326094,12.0,0.00749213,0.0,9.119937860494375e-05
1807,MBH,3,3.0,0.66666667,6.17609732,11.0,0.00100639,0.3333333333333333,0.00016642413083574995
1808,MBJ,30,30.0,0.41609195,4.75750848,12.0,0.18722484,13205.255165377795,0.0007329916282508856
1809,MBK,2,2.0,0.0,7.74270205,15.0,2.02e-06,32.83333333333333,0.00018427785173032556
1810,MBL,1,1.0,,6.48981186,14.0,0.00021733,0.0,0.00010497522738846574
1811,MBS,5,5.0,1.0,5.50647801,13.0,0.0406028,0.0,0.00013857533896928666
1812,MBT,1,1.0,,5.71725971,11.0,0.00215058,0.0,7.638158651182697e-05
1813,MCE,2,2.0,1.0,5.20167884,12.0,0.00923995,0.0,0.00010931234208376579
1814,MCG,7,7.0,0.0952381,5.72842633,13.0,0.00141909,15076.487797685248,0.0005442494241697702
1815,MCJ,1,1.0,,6.96042641,14.0,4.923e-05,0.0,8.804560911962246e-05
1816,MCK,3,3.0,1.0,5.8178414,13.0,0.00632373,0.0,0.0001684170344450952
1817,MCM,1,1.0,,6.2653273,13.0,0.00583089,0.0,5.956560951952707e-05
1818,MCN,2,2.0,1.0,5.5287676,13.0,0.01100613,0.0,0.00010492575665653309
1819,MCP,5,5.0,0.4,6.11735243,13.0,0.00053982,3985.9912397059866,0.0002970161613654797
1820,MCT,35,35.0,0.31596639,5.71756169,11.0,0.07287287,15893.730553271187,0.0009606853668020461
1821,MCU,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
1822,MCV,1,1.0,,6.73772443,12.0,0.00026408,0.0,8.45027745802787e-05
1823,MCW,2,2.0,0.0,5.63050175,13.0,0.00689366,3615.999999999999,0.00015580471264100334
1824,MCX,1,1.0,,5.40842025,12.0,0.01034316,0.0,6.4811752025577e-05
1825,MCY,5,5.0,0.5,5.86202698,11.0,0.00316562,105.54552800031342,0.00023812967925977973
1826,MCZ,5,5.0,0.8,5.75346064,13.0,0.00590216,51.84227522348713,0.0001878120828135701
1827,MDC,7,7.0,0.42857143,5.74861486,11.0,0.00636155,2857.440156900578,0.0002963880702251365
1828,MDE,23,23.0,0.16996047,5.86238673,13.0,0.01581393,18996.438280646682,0.0010209511385926154
1829,MDG,2,2.0,1.0,5.64163776,12.0,0.00896707,0.0,8.174216159412307e-05
1830,MDK,1,1.0,,6.19595603,13.0,0.00059279,0.0,7.121689276581894e-05
1831,MDL,10,10.0,0.24444444,6.32108351,12.0,0.00087951,14478.010546445596,0.0005559776540884925
1832,MDQ,3,3.0,0.66666667,5.5892812,13.0,0.00334098,2.2,0.00016408698967238097
1833,MDS,2,2.0,0.0,7.52580539,15.0,2.35e-05,0.5,0.00015299401874996333
1834,MDU,4,4.0,0.33333333,6.7273549,11.0,0.00015399,8402.78809523848,0.0002825296547217223
1835,MDY,1,1.0,,5.59804096,12.0,0.00268125,0.0,6.852210440559977e-05
1836,MDZ,6,6.0,0.46666667,5.56310126,13.0,0.00521707,3631.087020385936,0.00028876956315305725
1837,MED,17,17.0,0.38235294,5.31519945,12.0,0.04774324,934.386156762324,0.000442154974582568
1838,MEE,3,3.0,1.0,6.26462185,12.0,0.00028954,0.0,0.00019111410682854356
1839,MEH,5,5.0,0.6,8.26739841,15.0,6.09e-06,2.0214285714285714,0.0002748266973750868
1840,MEI,4,4.0,0.5,5.51814376,13.0,0.01652237,124.74843971858566,0.00014680826908509194
1841,MEL,38,38.0,0.16785206,4.80359112,11.0,0.04206484,67204.4668576214,0.0015553090258835479
1842,MEM,78,78.0,0.26773227,4.88564623,12.0,0.29320334,30564.161682993876,0.0017712687633462038
1843,MES,9,9.0,0.36111111,5.76748545,11.0,0.01133186,4040.059672342498,0.0003666103709401332
1844,MEU,5,5.0,0.5,6.87563403,14.0,0.00023542,1831.9731887457747,0.0002923323020413587
1845,MEX,85,85.0,0.14061625,4.81544267,12.0,0.25994142,118134.78780567496,0.002390748071497211
1846,MFA,2,2.0,1.0,6.20395285,13.0,0.00086046,0.0,0.0001076826469061588
1847,MFE,3,3.0,1.0,5.58329768,13.0,0.02069707,0.0,0.00010008530303153892
1848,MFG,1,1.0,,6.03013553,12.0,0.00285256,0.0,6.580924982355253e-05
1849,MFJ,1,1.0,,6.9808749,13.0,1.184e-05,0.0,0.00011041094674571414
1850,MFM,18,18.0,0.46405229,5.4126852,11.0,0.0348104,730.9232666259344,0.00044181651595403453
1851,MFO,2,2.0,1.0,8.72579163,13.0,5e-08,0.0,0.0001808220673605288
1852,MFR,4,4.0,1.0,5.17186501,12.0,0.0254825,0.0,0.00013061199053973472
1853,MFU,3,3.0,0.66666667,6.65582656,13.0,0.00028263,2.0,0.00018869947159609263
1854,MFZ,3,3.0,0.33333333,7.72597267,12.0,2.85e-06,1807.0,0.00022779243927654238
1855,MGA,6,6.0,0.93333333,5.53905964,13.0,0.02301411,1.666666666666667,0.00019468018343249229
1856,MGB,3,3.0,0.66666667,5.79428892,12.0,0.00110585,7.76969696969697,0.00017355757804053985
1857,MGD,2,2.0,1.0,7.59996298,15.0,1.064e-05,0.0,0.00016882346099928762
1858,MGF,3,3.0,1.0,5.77201712,13.0,0.00491279,0.0,0.00014155518184808948
1859,MGH,1,1.0,,5.65982769,12.0,0.00499672,0.0,6.993258327599931e-05
1860,MGM,5,5.0,0.9,5.57587599,13.0,0.03257824,1.1716181479339374,0.0001406793539966962
1861,MGN,3,3.0,0.66666667,6.86545728,14.0,0.00025268,0.5,0.00018792158944450166
1862,MGQ,3,3.0,1.0,6.76303302,13.0,0.00073561,0.0,0.0001370130510846334
1863,MGS,1,1.0,,6.12956508,13.0,0.00024458,0.0,9.264459754143638e-05
1864,MGT,3,3.0,1.0,7.73878014,13.0,5.11e-06,0.0,0.0002151366057084307
1865,MGW,3,3.0,0.66666667,5.52750452,13.0,0.01640654,22.924960295833227,0.00012061134227962211
1866,MGZ,4,4.0,0.83333333,6.33129368,12.0,0.00050422,0.3333333333333333,0.00021882373347058195
1867,MHD,17,17.0,0.20588235,5.7464219,12.0,0.01924528,1495.199072994684,0.0005603024135263964
1868,MHG,2,2.0,1.0,6.38901904,13.0,0.01568278,0.0,7.507465790345107e-05
1869,MHH,5,5.0,0.8,5.85990755,13.0,0.01879988,2.160619111432588,0.00015387469239744615
1870,MHK,2,2.0,1.0,5.96113638,13.0,0.00476677,0.0,0.00010101945542931629
1871,MHQ,5,5.0,0.8,5.66726749,13.0,0.01410437,0.5833333333333333,0.00018473257654757642
1872,MHT,15,15.0,0.95238095,5.64430933,13.0,0.11692564,3.182181797187496,0.00031648909085954757
1873,MHX,1,1.0,,6.12956508,13.0,0.00024458,0.0,9.264459754143638e-05
1874,MIA,110,110.0,0.19933278,4.86256434,12.0,0.46757877,207286.4794265447,0.002673658191979431
1875,MID,10,10.0,0.44444444,5.57211543,13.0,0.03739488,2865.8598935532,0.00029250863695118925
1876,MII,2,2.0,1.0,5.77361624,13.0,0.0047649,0.0,0.00011139892090604925
1877,MIJ,1,1.0,,6.59606914,13.0,4.892e-05,0.0,0.00010687048187965446
1878,MIK,2,2.0,1.0,5.79109519,13.0,0.0056501,0.0,0.00011171707258307455
1879,MIL,129,129.0,0.20712209,4.64311852,12.0,0.64863045,99752.28030642538,0.0027571593022123913
1880,MIM,2,2.0,0.0,5.79707644,12.0,0.0007731,6.406394798498119,0.00013270499100525633
1881,MIR,20,20.0,0.67368421,5.3571924,12.0,0.15208774,52.581807945934806,0.0003919372713746444
1882,MIS,3,3.0,0.66666667,6.13577356,10.0,0.000592,1082.1539819964987,0.00019425463777171157
1883,MIU,2,2.0,1.0,6.18885584,13.0,0.00308137,0.0,0.00011240945008839199
1884,MJA,2,2.0,1.0,7.18594487,14.0,1e-05,0.0,0.00015257463889641442
1885,MJB,2,2.0,0.0,6.59602963,13.0,4.894e-05,3616.0,0.0002224828903714779
1886,MJD,4,4.0,0.5,6.08376451,12.0,0.00236803,3616.0,0.00022025240660453443
1887,MJE,2,2.0,0.0,7.59628855,14.0,1.78e-06,4.083333333333334,0.0001850623487519144
1888,MJF,5,5.0,0.7,6.3798101,13.0,0.00040912,3.416666666666666,0.0002489084648410908
1889,MJK,4,4.0,0.83333333,5.95885993,12.0,0.00082918,0.5833333333333334,0.0002458927164400106
1890,MJL,2,2.0,1.0,6.19411629,13.0,0.00135751,0.0,0.0001288842811031308
1891,MJM,3,3.0,0.66666667,6.2160348,13.0,0.00071865,4.596825396825397,0.0001585984123291357
1892,MJN,14,14.0,0.15384615,6.18427268,13.0,0.00086646,14765.208002655227,0.0007210332090288232
1893,MJT,5,5.0,0.6,5.42754084,12.0,0.01211695,2.0190253512834158,0.00019090826640584405
1894,MJV,5,5.0,0.9,5.25201857,12.0,0.04687995,0.13363095238095238,0.0001286910013064791
1895,MJZ,1,1.0,,5.40842025,12.0,0.01034316,0.0,6.4811752025577e-05
1896,MKC,59,59.0,0.41145529,4.96120487,12.0,0.26341436,24767.563812888395,0.0013825608036525327
1897,MKE,51,51.0,0.45019608,4.96087385,12.0,0.24093627,4721.160111804335,0.0010690970372141317
1898,MKG,4,4.0,0.83333333,5.53246162,13.0,0.02556921,3.890640694800019,0.00011756307751577053
1899,MKK,3,3.0,1.0,5.58778164,12.0,0.00351524,0.0,0.00012881451349751338
1900,MKL,2,2.0,0.0,5.88556877,13.0,0.00520945,3616.0000000000005,0.0001502968641386591
1901,MKM,4,4.0,1.0,6.73675743,12.0,0.0004619,0.0,0.00019378158257211028
1902,MKN,2,2.0,0.0,8.72802183,13.0,1e-07,1.0,0.00018375339381272192
1903,MKP,2,2.0,1.0,6.07032747,13.0,0.0004474,0.0,0.0001446616100534053
1904,MKQ,1,1.0,,8.75351745,14.0,8e-08,0.0,0.00011243852526239606
1905,MKR,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014141940192729073
1906,MKS,2,2.0,1.0,6.27923441,13.0,0.0017195,0.0,0.00012036331883170931
1907,MKU,1,1.0,,6.19436506,13.0,0.00133151,0.0,7.266171068691821e-05
1908,MKY,4,4.0,0.33333333,6.17265908,11.0,0.00106218,702.5066060300168,0.00022137911987712676
1909,MKZ,1,1.0,,6.73022696,13.0,0.00010326,0.0,8.2252178578582e-05
1910,MLA,46,46.0,0.51497585,5.40555444,12.0,0.32838983,5778.477054430425,0.0009713540725331229
1911,MLB,4,4.0,1.0,5.60646491,13.0,0.03898513,0.0,0.00011578033523795925
1912,MLE,17,17.0,0.39705882,5.24615265,11.0,0.11014546,14931.005715501236,0.0005020091768061698
1913,MLI,10,10.0,0.86666667,5.53008474,13.0,0.06192918,13.223643841322144,0.0002474425635924607
1914,MLL,2,2.0,1.0,6.72783761,14.0,2.677e-05,0.0,0.0001651480300884734
1915,MLM,15,15.0,0.43809524,5.1452125,12.0,0.04441563,4583.507312979671,0.0003990725079398099
1916,MLO,1,1.0,,5.42203555,12.0,0.0076845,0.0,6.473243916204277e-05
1917,MLS,2,2.0,0.0,6.65993707,14.0,0.00042378,1487.207595350706,0.0001432896827140269
1918,MLU,12,12.0,0.54545455,5.59184029,13.0,0.04202685,267.0284492346848,0.0003002087610551732
1919,MLW,7,7.0,0.57142857,5.09978034,12.0,0.0389453,394.6977733113379,0.00019050734976658123
1920,MLX,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.962674617630735e-05
1921,MLY,2,2.0,1.0,6.74775624,14.0,0.00013094,0.0,0.00016118230271478618
1922,MMA,11,11.0,0.45454545,5.21327043,12.0,0.06513899,535.91259635232,0.0003099690067169004
1923,MMB,4,4.0,0.83333333,5.31972951,12.0,0.0141374,0.0425531914893617,0.00013855235711999252
1924,MMD,2,2.0,1.0,6.28072876,13.0,0.00067608,0.0,0.00011906206047113314
1925,MME,5,5.0,0.9,5.22321361,12.0,0.04206696,2.7532679738562087,0.00013844578571274428
1926,MMG,1,1.0,,5.95894829,12.0,0.00078548,0.0,8.131615610821342e-05
1927,MMJ,4,4.0,1.0,5.45728816,12.0,0.00685384,0.0,0.00013828799475719986
1928,MMK,5,5.0,0.3,5.39642657,12.0,0.01562628,2899.196578195782,0.00020338163212794275
1929,MMO,1,1.0,,7.24206408,14.0,7.045e-05,0.0,8.815155786792176e-05
1930,MMP,2,2.0,1.0,6.86542258,14.0,0.00024835,0.0,0.00013036002150652957
1931,MMY,5,5.0,0.7,5.31608261,12.0,0.01215813,1609.2553724506947,0.00019677166051674098
1932,MNB,2,2.0,1.0,7.19582863,14.0,1.073e-05,0.0,0.00018445133995430592
1933,MNF,1,1.0,,5.98100282,12.0,0.00051988,0.0,8.194500158967413e-05
1934,MNG,4,4.0,0.5,6.73764374,12.0,0.00026458,7674.44296418724,0.0002632044388356204
1935,MNJ,3,3.0,0.33333333,6.18666971,13.0,0.00053333,1805.9833333333338,0.00019786789073186544
1936,MNL,67,67.0,0.11216644,4.71730892,10.0,0.12107894,227154.60673757596,0.0027526923747083786
1937,MNR,2,2.0,1.0,6.64589508,13.0,0.00018828,0.0,0.0001402953425814594
1938,MNS,1,1.0,,6.6557282,13.0,9.432e-05,0.0,9.248178371482753e-05
1939,MNT,2,2.0,1.0,6.74775624,14.0,0.00013094,0.0,0.0001611823027147593
1940,MNU,3,3.0,1.0,6.33121547,12.0,0.00049557,0.0,0.0001693556022338669
1941,MNY,2,2.0,1.0,8.1695814,12.0,4e-07,0.0,0.00018362427506328507
1942,MOA,1,1.0,,6.24212191,13.0,0.00158774,0.0,6.482750595511582e-05
1943,MOB,9,9.0,0.94444444,5.51264268,13.0,0.06633945,1.1464398279619854,0.0002103244782788722
1944,MOC,1,1.0,,6.77007264,14.0,0.00015108,0.0,7.460532080098649e-05
1945,MOD,1,1.0,,5.25522556,12.0,0.00741286,0.0,6.151302985901547e-05
1946,MOG,2,2.0,1.0,7.33126606,13.0,1.855e-05,0.0,0.00013233270052476722
1947,MOI,3,3.0,0.66666667,6.12949992,13.0,0.00025343,0.5,0.00022576400279020618
1948,MOL,4,4.0,1.0,6.27161266,13.0,0.00663887,0.0,0.0001591894538017456
1949,MON,4,4.0,0.66666667,6.24115261,12.0,0.00045002,189.94029152204718,0.00021220393961410118
1950,MOQ,6,6.0,0.26666667,6.18630364,13.0,0.00054352,7222.10837210931,0.00036456800109468485
1951,MOT,1,1.0,,5.63055533,13.0,0.00689149,0.0,6.427979585432327e-05
1952,MOU,2,2.0,1.0,6.72676705,14.0,2.7e-05,0.0,0.00015864300243959148
1953,MOW,186,186.0,0.09584423,4.40847869,11.0,0.5823272,341434.4864607309,0.005110050694882504
1954,MOZ,4,4.0,1.0,6.07032903,13.0,0.00046406,0.0,0.0002444988419920916
1955,MPA,1,1.0,,6.32281967,13.0,0.00065741,0.0,7.910364986277598e-05
1956,MPH,1,1.0,,5.71725971,11.0,0.00215058,0.0,7.638158651182697e-05
1957,MPK,3,3.0,1.0,5.39140039,12.0,0.00639664,0.0,0.00011988609663782916
1958,MPL,15,15.0,0.61904762,5.16507915,12.0,0.07197251,232.25344509845493,0.00033281123827958847
1959,MPM,11,11.0,0.29090909,5.27542235,12.0,0.02202579,8975.604876906238,0.00039594348506868384
1960,MPN,2,2.0,0.0,8.65087115,16.0,1.66e-06,7230.0,0.00020514447275307368
1961,MPU,2,2.0,1.0,7.7276699,12.0,5.58e-06,0.0,0.00015383237470234797
1962,MPW,1,1.0,,6.38709915,13.0,0.00571868,0.0,6.044480604288084e-05
1963,MPY,2,2.0,1.0,6.27846846,13.0,0.00032614,0.0,0.0001409230159327649
1964,MQF,4,4.0,0.83333333,5.40896366,12.0,0.01186467,0.576923076923077,0.000134069996778835
1965,MQL,2,2.0,1.0,5.794307,12.0,0.00109223,0.0,0.00012025245280351087
1966,MQM,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.922713109331792e-05
1967,MQN,6,6.0,0.53333333,6.37985126,13.0,0.0004126,10.866666666666665,0.0002965478098623622
1968,MQT,5,5.0,0.6,5.530285,13.0,0.0197855,134.04288724934594,0.0001606801135809098
1969,MQX,3,3.0,0.0,6.27924316,13.0,0.00169002,5416.983333333334,0.00020735577401488864
1970,MQZ,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014141940192724073
1971,MRA,2,2.0,1.0,6.28567228,13.0,0.00166602,0.0,9.693847664602603e-05
1972,MRD,4,4.0,0.5,6.27009946,13.0,0.00389834,1129.5706579967625,0.00017782572757007745
1973,MRE,3,3.0,0.66666667,6.16805083,13.0,0.00245398,1.0,0.00016165337045792594
1974,MRQ,1,1.0,,5.71725971,11.0,0.00215058,0.0,7.638158651182697e-05
1975,MRS,47,47.0,0.29047179,5.17647398,12.0,0.20814755,2088.853221278648,0.0010077299257110447
1976,MRU,31,31.0,0.34623656,4.80018456,11.0,0.17551286,32344.123470366663,0.000845068030799506
1977,MRV,17,17.0,0.38235294,5.39168602,12.0,0.02629756,180.36870797677213,0.00044294258644084975
